File,Detection method,X,Y,georef,X_WGS84,Y_WGS84
59-2_0064map_1_0__danna.tif,point_filtering,901,322,0,73.4247260858862,41.457242142219066
59-2_0064map_1_0__danna.tif,point_filtering,923,301,0,73.73960936153782,41.207885120936
59-2_0064map_1_0__danna.tif,point_filtering,904,261,0,73.46766471438416,40.732919366111105
59-2_0064map_1_0__danna.tif,point_filtering,798,225,0,71.95049984079007,40.305450186768695
59-2_0064map_1_0__danna.tif,point_filtering,947,129,0,74.08311838952137,39.16553237518896
59-2_0064map_1_1__augias.tif,point_filtering,971,514,0,74.42662741750493,43.73707776537855
59-2_0064map_1_1__augias.tif,point_filtering,863,321,0,72.8808367915789,41.445367998348445
59-2_0064map_2_0__danna.tif,point_filtering,901,322,0,73.4247260858862,41.457242142219066
59-2_0064map_2_0__danna.tif,point_filtering,923,301,0,73.73960936153782,41.207885120936
59-2_0064map_2_0__danna.tif,point_filtering,904,261,0,73.46766471438416,40.732919366111105
59-2_0064map_2_0__danna.tif,point_filtering,798,225,0,71.95049984079007,40.305450186768695
59-2_0064map_2_0__danna.tif,point_filtering,946,128,0,74.06880551335539,39.15365823131833
59-2_0064map_2_1__augias.tif,point_filtering,970,512,0,74.41231454133896,43.7133294776373
59-2_0064map_2_1__augias.tif,point_filtering,863,320,0,72.8808367915789,41.43349385447782
59-2_0064map_2_2__ancilla.tif,point_filtering,966,502,0,74.35506303667503,43.59458803893108
59-2_0064map_2_2__ancilla.tif,point_filtering,921,312,0,73.71098360920584,41.33850070351284
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1034,197,0,75.3283386159618,39.972974158391274
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1103,192,0,76.31592707141455,39.91360343903816
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,979,188,0,74.5411304268328,39.86610686355567
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1011,171,0,74.99914246414421,39.664246417755095
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,801,160,0,71.99343846928802,39.53363083517825
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1104,154,0,76.33023994758052,39.46238597195451
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,864,131,0,72.89514966774487,39.1892806629302
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,947,121,0,74.08311838952137,39.07053922422398
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,922,124,0,73.72529648537183,39.10616165583585
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,799,108,0,71.96481271695606,38.916175353905885
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,943,93,0,74.02586688485745,38.73806319584655
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,903,60,0,73.45335183821817,38.34621644811602
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1023,55,0,75.170896978136,38.286845728762906
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1016,53,0,75.07070684497413,38.26309744102166
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1018,52,0,75.09933259730609,38.251223297151036
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1020,51,0,75.12795834963805,38.239349153280415
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,842,221,0,72.58026639209328,40.25795361128621
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1034,197,0,75.3283386159618,39.972974158391274
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1104,192,0,76.33023994758052,39.91360343903816
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,979,188,0,74.5411304268328,39.86610686355567
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1011,170,0,74.99914246414421,39.652372273884474
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,801,160,0,71.99343846928802,39.53363083517825
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1104,154,0,76.33023994758052,39.46238597195451
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,864,131,0,72.89514966774487,39.1892806629302
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,947,121,0,74.08311838952137,39.07053922422398
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,922,123,0,73.72529648537183,39.09428751196522
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,799,108,0,71.96481271695606,38.916175353905885
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,943,93,0,74.02586688485745,38.73806319584655
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,903,60,0,73.45335183821817,38.34621644811602
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1028,60,0,75.24246135896591,38.34621644811602
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1012,42,0,75.0134553403102,38.13248185844481
59-2_0064map_1_0__danna.tif,circle_detection,948,-130,0,74.09743126568736,36.090129112697774
59-2_0064map_1_0__danna.tif,circle_detection,924,-302,0,73.75392223770379,34.047776366950735
59-2_0064map_1_0__danna.tif,circle_detection,900,-322,0,73.41041320972023,33.81029348953829
59-2_0064map_1_0__danna.tif,circle_detection,960,-296,0,74.26918577967913,34.11902123017447
59-2_0064map_1_0__danna.tif,circle_detection,902,-324,0,73.4390389620522,33.78654520179705
59-2_0064map_1_0__danna.tif,circle_detection,488,-214,0,67.5135082293357,35.092701027565504
59-2_0064map_1_0__danna.tif,circle_detection,562,-350,0,68.57266106561835,33.47781746116087
59-2_0064map_1_1__augias.tif,circle_detection,864,-322,0,72.89514966774487,33.81029348953829
59-2_0064map_1_1__augias.tif,circle_detection,960,-296,0,74.26918577967913,34.11902123017447
59-2_0064map_1_1__augias.tif,circle_detection,956,-188,0,74.21193427501521,35.40142876820168
59-2_0064map_2_0__danna.tif,circle_detection,902,-322,0,73.4390389620522,33.81029348953829
59-2_0064map_2_0__danna.tif,circle_detection,900,-322,0,73.41041320972023,33.81029348953829
59-2_0064map_2_1__augias.tif,circle_detection,864,-320,0,72.89514966774487,33.83404177727954
59-2_0064map_2_1__augias.tif,circle_detection,960,-296,0,74.26918577967913,34.11902123017447
59-2_0064map_2_1__augias.tif,circle_detection,1128,-210,0,76.6737489755641,35.140197603047994
59-2_0064map_2_1__augias.tif,circle_detection,846,-158,0,72.6375178967572,35.75765308432035
59-2_0064map_2_2__ancilla.tif,circle_detection,960,-296,0,74.26918577967913,34.11902123017447
59-2_0064map_2_2__ancilla.tif,circle_detection,1046,-98,0,75.50009312995358,36.47010171655769
59-2_0064map_2_2__ancilla.tif,circle_detection,1126,-210,0,76.64512322323213,35.140197603047994
59-2_0064map_2_2__ancilla.tif,circle_detection,648,-900,0,69.8035684158928,26.94703833231859
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1042,-176,0,75.44284162528965,35.54391849464915
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,872,-312,0,73.00965267707274,33.92903492824451
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,884,-228,0,73.18140719106452,34.92646301337679
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-114,0,73.21003294339648,36.28011541462773
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,762,-334,0,71.43523629881473,33.667803763090824
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,774,-280,0,71.60699081280652,34.30900753210443
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,920,-232,0,73.69667073303987,34.8789664378943
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1000,-244,0,74.84170082631842,34.736476711446834
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,782,-264,0,71.72149382213436,34.49899383403439
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,842,-208,0,72.58026639209328,35.163945890789236
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,462,-622,0,67.14137344902016,30.248050328351596
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1104,-154,0,76.33023994758052,35.805149659802844
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-188,0,72.0936286024499,35.40142876820168
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,930,-90,0,73.83979949469969,36.56509486752267
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-288,0,73.52491621904808,34.21401438113945
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,876,-66,0,73.06690418173666,36.850074320417605
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,830,-220,0,72.40851187810149,35.02145616434177
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-118,0,72.89514966774487,36.232618839145246
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0,74.26918577967913,34.11902123017447
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,944,-304,0,74.04017976102342,34.024028079209494
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-132,0,72.89514966774487,36.06638082495653
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-326,0,73.81117374236771,33.762796914055805
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,916,-254,0,73.63941922837594,34.61773527274061
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,896,-252,0,73.3531617050563,34.64148356048185
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,820,-176,0,72.26538311644168,35.54391849464915
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,914,-254,0,73.61079347604397,34.61773527274061
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-240,0,73.52491621904808,34.783973286929324
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,946,-110,0,74.06880551335539,36.32761199011022
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,942,-332,0,74.01155400869146,33.691552050832065
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-346,0,73.21003294339648,33.52531403664336
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-304,0,73.38178745738827,34.024028079209494
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-154,0,72.0936286024499,35.805149659802844
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,450,-624,0,66.96961893502838,30.22430204061035
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,894,-322,0,73.32453595272433,33.81029348953829
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,926,-310,0,73.78254799003575,33.95278321598576
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-278,0,73.92567675169558,34.33275581984567
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,810,-114,0,72.12225435478186,36.28011541462773
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-230,0,73.21003294339648,34.90271472563555
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-266,0,73.52491621904808,34.47524554629314
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,934,-346,0,73.89705099936361,33.52531403664336
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-334,0,73.38178745738827,33.667803763090824
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-334,0,73.21003294339648,33.667803763090824
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1012,-170,0,75.0134553403102,35.61516335787288
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1042,-176,0,75.44284162528965,35.54391849464915
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,884,-228,0,73.18140719106452,34.92646301337679
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,774,-280,0,71.60699081280652,34.30900753210443
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,782,-264,0,71.72149382213436,34.49899383403439
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,872,-312,0,73.00965267707274,33.92903492824451
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,462,-622,0,67.14137344902016,30.248050328351596
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-112,0,73.21003294339648,36.30386370236898
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,750,-332,0,71.26348178482294,33.691552050832065
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,842,-208,0,72.58026639209328,35.163945890789236
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-276,0,73.92567675169558,34.356504107586915
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-310,0,73.81117374236771,33.95278321598576
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-188,0,72.0936286024499,35.40142876820168
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,930,-90,0,73.83979949469969,36.56509486752267
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,762,-334,0,71.43523629881473,33.667803763090824
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,936,-346,0,73.92567675169558,33.52531403664336
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-288,0,73.52491621904808,34.21401438113945
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-240,0,73.52491621904808,34.783973286929324
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1104,-154,0,76.33023994758052,35.805149659802844
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,928,-326,0,73.81117374236771,33.762796914055805
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,894,-320,0,73.32453595272433,33.83404177727954
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,896,-252,0,73.3531617050563,34.64148356048185
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,830,-220,0,72.40851187810149,35.02145616434177
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,934,-348,0,73.89705099936361,33.50156574890211
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0,74.26918577967913,34.11902123017447
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,864,-118,0,72.89514966774487,36.232618839145246
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,876,-66,0,73.06690418173666,36.850074320417605
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,450,-624,0,66.96961893502838,30.22430204061035
